차량ID,연비,연료타입,차급,외형,엔진,가격,이미지,출력,URL
 2025 토요타 GR86,9.5km/ℓ,가솔린,준중형,쿠페,FR,4846,http://file.carisyou.com/upload/2022/05/16/FILE_202205160937058990.png,231마력,https://www.carisyou.com/car/7576/Spec
 2025 비야디 씰,4.2km/kwh,전기,중형,세단,2WD,5250,http://file.carisyou.com/upload/2025/04/07/FILE_202504071102584910.png,313마력,https://www.carisyou.com/car/7575/Spec
 2025 람보르기니 우루스,7.7km/ℓ,가솔린/하이브리드,대형,SUV,4WD,32700,http://file.carisyou.com/upload/2022/11/22/FILE_202211221100140450.png,620마력,https://www.carisyou.com/car/7573/Spec
 2025 마세라티 그레칼레,3.0km/kwh,전기,중형,SUV,4WD,12380,http://file.carisyou.com/upload/2022/11/21/FILE_202211210932439380.png,558마력,https://www.carisyou.com/car/7571/Spec
 2024 지프 그랜드 체로키(5세대),7.7km/ℓ,가솔린,대형,SUV,4WD,1230,http://file.carisyou.com/upload/2021/10/20/FILE_202110201052436270.png,286마력,https://www.carisyou.com/car/7570/Spec
 2025 현대 베뉴,13.3 ~ 13.7km/ℓ,가솔린,소형,SUV,FF,2386,http://file.carisyou.com/upload/2019/07/24/FILE_201907240259512240.png,123마력,https://www.carisyou.com/car/7568/Spec
 2025 KGM 토레스 EVX,4.7 ~ 4.8km/kwh,전기,중형,SUV,2WD,4812,http://file.carisyou.com/upload/2023/03/31/FILE_202303310954217660.png,207마력,https://www.carisyou.com/car/7567/Spec
 2026 르노코리아 아르카나 하이브리드,17.0 ~ 17.4km/ℓ,가솔린/하이브리드,준중형,SUV,FF,3401,http://file.carisyou.com/upload/2025/04/01/FILE_202504011258345070.png,86마력,https://www.carisyou.com/car/7566/Spec
 2026 르노코리아 아르카나,12.8 ~ 13.4km/ℓ,가솔린,준중형,SUV,FF,2640,http://file.carisyou.com/upload/2024/04/03/FILE_202404030453563110.png,123마력,https://www.carisyou.com/car/7565/Spec
 2025 토요타 알파드(4세대),13.5km/ℓ,가솔린/하이브리드,대형,RV,4WD,149,http://file.carisyou.com/upload/2023/09/18/FILE_202309180937249960.png,190마력,https://www.carisyou.com/car/7564/Spec
 2025 푸조 308(3세대),15.2km/ℓ,가솔린,준중형,해치백,FF,4650,http://file.carisyou.com/upload/2025/04/08/FILE_202504080455246260.png,136마력,https://www.carisyou.com/car/7563/Spec
 2025 테슬라 모델 Y,5.4 ~ 5.6km/kwh,전기,준중형,SUV,2WD,7300,http://file.carisyou.com/upload/2025/03/28/FILE_202503280326303300.png,347마력,https://www.carisyou.com/car/7562/Spec
 2025 KGM 뉴 토레스,8.9 ~ 11.2km/ℓ,"가솔린,엘피지",중형,SUV,FF,3720,http://file.carisyou.com/upload/2024/05/08/FILE_202405080346476290.png,170마력,https://www.carisyou.com/car/7561/Spec
 2025 벤츠 EQS SUV,3.7km/kwh,전기,대형,SUV,4WD,16270,http://file.carisyou.com/upload/2024/03/26/FILE_202403261017567070.png,360마력,https://www.carisyou.com/car/7559/Spec
 2025 벤츠 EQE SUV,4.1km/kwh,전기,중형,SUV,4WD,11310,http://file.carisyou.com/upload/2024/03/25/FILE_202403250949121750.png,292마력,https://www.carisyou.com/car/7558/Spec
 2025 벤츠 EQS,4.1km/kwh,전기,대형,세단,2WD,14760,http://file.carisyou.com/upload/2025/03/21/FILE_202503210335552970.png,292마력,https://www.carisyou.com/car/7557/Spec
 2025 롤스로이스 고스트 시리즈2(2세대),5.4 ~ 5.6km/ℓ,가솔린,대형,세단,4WD,62400,http://file.carisyou.com/upload/2025/03/28/FILE_202503280536497990.png,571마력,https://www.carisyou.com/car/7556/Spec
 2025 BMW i4,4.5km/kwh,전기,준중형,해치백,2WD,9160,http://file.carisyou.com/upload/2025/03/14/FILE_202503140408064370.png,340마력,https://www.carisyou.com/car/7554/Spec
 2025 BMW iX3,4.1km/kwh,전기,준중형,SUV,2WD,8240,http://file.carisyou.com/upload/2021/11/23/FILE_202111230455450350.png,286마력,https://www.carisyou.com/car/7553/Spec
 2025 현대 포터2 일렉트릭,3.1km/kwh,전기,소형,트럭,2WD,4620,http://file.carisyou.com/upload/2019/12/11/FILE_201912111011447610.png,-마력,https://www.carisyou.com/car/7551/Spec
 2025 KGM 뉴 토레스 하이브리드,15.2 ~ 15.7km/ℓ,가솔린/하이브리드,중형,SUV,FF,3690,http://file.carisyou.com/upload/2025/03/11/FILE_202503110321144740.png,150마력,https://www.carisyou.com/car/7550/Spec
 2025 BMW iX2,4.8km/kwh,전기,준중형,SUV,2WD,6470,http://file.carisyou.com/upload/2025/03/11/FILE_202503111022027630.png,204마력,https://www.carisyou.com/car/7549/Spec
 2025 토요타 시에나(4세대),13.7 ~ 14.5km/ℓ,가솔린/하이브리드,대형,RV,4WD,7289,http://file.carisyou.com/upload/2022/02/08/FILE_202202080453115700.png,189마력,https://www.carisyou.com/car/7548/Spec
 2025 토요타 RAV4(5세대),14.1 ~ 15.6km/ℓ,가솔린/하이브리드,준중형,SUV,FF,5659,http://file.carisyou.com/upload/2022/04/13/FILE_202204130202152340.png,178마력,https://www.carisyou.com/car/7547/Spec
 2025 기아 EV4,5.4 ~ 5.8km/kwh,전기,준중형,세단,2WD,5219,http://file.carisyou.com/upload/2025/03/10/FILE_202503101010267350.png,204마력,https://www.carisyou.com/car/7546/Spec
 2025 GMC 시에라(5세대),6.6km/ℓ,가솔린,대형,픽업트럭,4WD,9590,http://file.carisyou.com/upload/2023/02/08/FILE_202302081033469850.png,426마력,https://www.carisyou.com/car/7545/Spec
 2025 제네시스 뉴 GV60,4.0 ~ 5.1km/kwh,전기,준중형,SUV,2WD,7330,http://file.carisyou.com/upload/2025/03/07/FILE_202503070120256030.png,-마력,https://www.carisyou.com/car/7544/Spec
 2025 미니 미니 쿠퍼 컨버터블(4세대),11.5 ~ 12.3km/ℓ,가솔린,소형,컨버터블,FF,5950,http://file.carisyou.com/upload/2025/03/07/FILE_202503070222297040.png,163마력,https://www.carisyou.com/car/7542/Spec
 2025 폭스바겐 골프(8세대),17.3km/ℓ,디젤,준중형,해치백,FF,4318,http://file.carisyou.com/upload/2025/03/07/FILE_202503070259343690.png,150마력,https://www.carisyou.com/car/7540/Spec
 2025 포드 머스탱(7세대),7.2 ~ 9.6km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,8470,http://file.carisyou.com/upload/2024/02/15/FILE_202402151109151320.png,319마력,https://www.carisyou.com/car/7537/Spec
 2024 링컨 네비게이터(4세대),7.2km/ℓ,가솔린,대형,SUV,4WD,15040,http://file.carisyou.com/upload/2022/09/22/FILE_202209221120572550.png,446마력,https://www.carisyou.com/car/7536/Spec
 2025 푸조 408,12.9km/ℓ,가솔린,준중형,해치백,FF,4690,http://file.carisyou.com/upload/2023/05/23/FILE_202305230102114180.png,131마력,https://www.carisyou.com/car/7535/Spec
 2025 제네시스 G90(RS4),8.0 ~ 9.3km/ℓ,가솔린,대형,"리무진,세단외형전체>",FR,17377,http://file.carisyou.com/upload/2021/12/14/FILE_202112140254196890.png,380마력,https://www.carisyou.com/car/7534/Spec
 2025 KGM 무쏘 칸(Q261),10.2 ~ 10.3km/ℓ,디젤,대형,픽업트럭,FR,3909,http://file.carisyou.com/upload/2025/01/20/FILE_202501200426517090.png,202마력,https://www.carisyou.com/car/7533/Spec
